comment_ID,issue_no,is_author,ld_label,word_divergence,involve_contributor_num,other_commenter,commenter_num,comment_num,reporter_response,self_repsonse,other_response,time_from_start,time_to_close,response_time,ld_num,ld_types,LD1,LD2,LD3,LD4,LD5,LD6
14773176,2359,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14773342,2359,,LD1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14755793,2358,,LD1,0.888888889,0,0,1,1,1,0,0,1,1,321,0,0,0,0,0,0,0,0
14755934,2358,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14785456,2358,,LD5,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14702292,2356,,N,0.916666667,0,1,1,1,0,0,1,1,1,6635,1,1,0,0,1,0,0,0
14706348,2356,,LD3,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14751667,2356,Y,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
14767773,2355,,LD1,0.731092437,0,1,3,3,1,1,1,2,1065,1573,1,1,1,0,0,0,0,0
14768725,2355,Y,,0.745098039,0,2,2,2,0,0,2,2,1065,974,1,1,1,0,0,0,0,0
14769290,2355,,N,0.909090909,0,1,1,1,0,0,1,2,1065,324,1,1,1,0,0,0,0,0
14769469,2355,,LD1,0,0,0,0,0,0,0,0,2,1065,,0,0,0,0,0,0,0,0
30097395,2355,,LD1,0.785714286,0,1,1,1,0,0,1,273,793,256,0,0,0,0,0,0,0,0
30097500,2355,,N,0,0,0,0,0,0,0,0,273,793,,0,0,0,0,0,0,0,0
40629156,2355,,N,0,0,0,0,0,0,0,0,402,664,,0,0,0,0,0,0,0,0
181925799,2355,,N,0,0,0,0,0,0,0,0,1066,0,,0,0,0,0,0,0,0,0
14706369,2354,,LD5,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
14689144,2353,,LD4,0.462264151,0,0,1,1,1,0,0,1,419,166,0,0,0,0,0,0,0,0
14689196,2353,Y,,0,0,0,0,0,0,0,0,1,419,,0,0,0,0,0,0,0,0
14806541,2353,,N,0,0,0,0,0,0,0,0,3,417,,0,0,0,0,0,0,0,0
26785284,2353,,N,0,0,0,0,0,0,0,0,226,194,,0,0,0,0,0,0,0,0
42101767,2353,,N,0,0,0,0,0,0,0,0,419,0,,0,0,0,0,0,0,0,0
